;TYPE;Model;BETA;J;V;Pe;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*;Dominated
2292;APC MR;APC MR;0.5625;0.34;12.8;0.5756;0.0946;0.0556;0.018;0.231;0.308;8;0.093352849;0.0551632;0
2293;APC MR;APC MR;0.5625;0.37;13.9;0.6044;0.0905;0.0549;0.018;0.228;0.295;8;0.088860118;0.053909444;0
2294;APC MR;APC MR;0.5625;0.39;15;0.6304;0.086;0.0539;0.018;0.224;0.281;8;0.085758127;0.052950106;0
2295;APC MR;APC MR;0.5625;0.42;16;0.6534;0.0814;0.0527;0.017;0.219;0.266;8;0.080947407;0.05132585;0
2296;APC MR;APC MR;0.5625;0.45;17.1;0.6735;0.0767;0.0514;0.017;0.213;0.25;8;0.075950438;0.049479294;0
2297;APC MR;APC MR;0.5625;0.48;18.2;0.6909;0.0719;0.0499;0.016;0.207;0.234;8;0.07077063;0.047410438;0
2298;APC MR;APC MR;0.5625;0.51;19.2;0.7058;0.0669;0.0481;0.016;0.2;0.218;8;0.065411389;0.045119281;0
2299;APC MR;APC MR;0.5625;0.54;20.3;0.7183;0.0617;0.046;0.015;0.191;0.201;8;0.059876126;0.042605825;0
2300;APC MR;APC MR;0.5625;0.56;21.4;0.7284;0.0564;0.0436;0.014;0.181;0.184;8;0.056089843;0.040806688;0
2301;APC MR;APC MR;0.5625;0.59;22.4;0.7359;0.0508;0.0409;0.013;0.17;0.166;8;0.050268782;0.037922731;0
2302;APC MR;APC MR;0.5625;0.62;23.5;0.741;0.0451;0.0378;0.012;0.157;0.147;8;0.044280786;0.034816475;0
2303;APC MR;APC MR;0.5625;0.65;24.6;0.7426;0.0392;0.0342;0.011;0.142;0.128;8;0.038129266;0.031487919;0
2304;APC MR;APC MR;0.5625;0.68;25.6;0.7388;0.033;0.0302;0.01;0.126;0.108;8;0.031817628;0.027937063;0
